"Time","N1yellow","N2yellow","N3yellow","S1blue","S2blue","S3blue","ZDC S 3","ZDC S Sum","ZDC N 1","ZDC N 2","ZDC N 3","ZDC N Sum","ZDC N·S","ZDC S 1","ZDC S 2"
2024-08-04 18:55:00,41 Hz,103 Hz,63 Hz,70 Hz,14 Hz,1.56 kHz,4.78 kHz,15.3 kHz,12.3 kHz,7.80 kHz,5.08 kHz,14.1 kHz,925 Hz,13.6 kHz,7.81 kHz
2024-08-04 18:55:04,40 Hz,111 Hz,50 Hz,73 Hz,15 Hz,1.48 kHz,4.78 kHz,15.3 kHz,12.3 kHz,7.63 kHz,5.08 kHz,14.0 kHz,961 Hz,13.6 kHz,7.87 kHz
2024-08-04 18:55:08,46 Hz,86 Hz,56 Hz,87 Hz,19 Hz,1.45 kHz,4.88 kHz,15.1 kHz,12.3 kHz,7.49 kHz,5.14 kHz,14.0 kHz,921 Hz,13.5 kHz,7.75 kHz
2024-08-04 18:55:12,49 Hz,112 Hz,60 Hz,94 Hz,12 Hz,1.59 kHz,4.79 kHz,15.0 kHz,12.3 kHz,7.78 kHz,5.07 kHz,14.2 kHz,947 Hz,13.4 kHz,7.67 kHz
2024-08-04 18:55:16,35 Hz,79 Hz,54 Hz,69 Hz,9 Hz,1.43 kHz,4.72 kHz,15.1 kHz,12.2 kHz,7.62 kHz,5.05 kHz,13.9 kHz,941 Hz,13.6 kHz,7.72 kHz
2024-08-04 18:55:20,44 Hz,113 Hz,52 Hz,69 Hz,13 Hz,1.61 kHz,4.68 kHz,15.0 kHz,12.3 kHz,7.45 kHz,5.00 kHz,13.9 kHz,897 Hz,13.5 kHz,7.83 kHz
2024-08-04 18:55:24,33 Hz,72 Hz,54 Hz,80 Hz,11 Hz,1.45 kHz,4.85 kHz,15.1 kHz,12.5 kHz,7.72 kHz,5.22 kHz,14.2 kHz,933 Hz,13.5 kHz,7.85 kHz
2024-08-04 18:55:28,31 Hz,93 Hz,52 Hz,62 Hz,11 Hz,1.43 kHz,4.69 kHz,14.9 kHz,12.1 kHz,7.53 kHz,5.15 kHz,13.9 kHz,886 Hz,13.3 kHz,7.74 kHz
2024-08-04 18:55:32,33 Hz,80 Hz,60 Hz,91 Hz,12 Hz,1.55 kHz,4.73 kHz,15.2 kHz,12.4 kHz,7.62 kHz,5.09 kHz,14.1 kHz,930 Hz,13.6 kHz,7.79 kHz
2024-08-04 18:55:36,33 Hz,82 Hz,46 Hz,67 Hz,10 Hz,1.33 kHz,4.77 kHz,15.0 kHz,12.4 kHz,7.73 kHz,5.13 kHz,14.2 kHz,957 Hz,13.5 kHz,7.75 kHz
2024-08-04 18:55:40,44 Hz,94 Hz,52 Hz,66 Hz,10 Hz,1.60 kHz,4.78 kHz,14.8 kHz,12.4 kHz,7.62 kHz,5.15 kHz,14.1 kHz,980 Hz,13.3 kHz,7.59 kHz
2024-08-04 18:55:44,38 Hz,95 Hz,52 Hz,74 Hz,16 Hz,1.39 kHz,4.72 kHz,15.1 kHz,12.3 kHz,7.71 kHz,5.05 kHz,14.1 kHz,985 Hz,13.4 kHz,7.76 kHz
2024-08-04 18:55:48,40 Hz,111 Hz,45 Hz,75 Hz,14 Hz,1.50 kHz,4.84 kHz,15.3 kHz,12.4 kHz,7.60 kHz,5.11 kHz,14.1 kHz,922 Hz,13.7 kHz,7.78 kHz
2024-08-04 18:55:52,41 Hz,97 Hz,48 Hz,72 Hz,12 Hz,1.53 kHz,4.70 kHz,15.1 kHz,12.2 kHz,7.53 kHz,5.03 kHz,13.9 kHz,958 Hz,13.5 kHz,7.63 kHz
2024-08-04 18:56:00,33 Hz,68 Hz,41 Hz,84 Hz,8 Hz,1.32 kHz,4.54 kHz,14.9 kHz,12.3 kHz,7.59 kHz,5.06 kHz,14.1 kHz,972 Hz,13.4 kHz,7.67 kHz
2024-08-04 18:56:04,41 Hz,85 Hz,43 Hz,77 Hz,12 Hz,1.41 kHz,4.74 kHz,15.2 kHz,12.1 kHz,7.54 kHz,5.00 kHz,13.9 kHz,899 Hz,13.6 kHz,7.69 kHz
2024-08-04 18:56:08,59 Hz,86 Hz,65 Hz,74 Hz,10 Hz,1.62 kHz,4.68 kHz,15.1 kHz,12.2 kHz,7.55 kHz,5.12 kHz,14.0 kHz,951 Hz,13.5 kHz,7.63 kHz
2024-08-04 18:56:12,49 Hz,97 Hz,44 Hz,72 Hz,9 Hz,1.40 kHz,4.80 kHz,15.0 kHz,12.1 kHz,7.66 kHz,5.20 kHz,14.0 kHz,936 Hz,13.4 kHz,7.73 kHz
