"Time","Voltage","Current"
2024-08-04 18:55:00,42.3 kV,112 µA
2024-08-04 18:55:04,42.3 kV,112 µA
2024-08-04 18:55:08,42.3 kV,112 µA
2024-08-04 18:55:12,42.3 kV,112 µA
2024-08-04 18:55:16,42.3 kV,112 µA
2024-08-04 18:55:20,42.3 kV,112 µA
2024-08-04 18:55:24,42.3 kV,111 µA
2024-08-04 18:55:28,42.3 kV,112 µA
2024-08-04 18:55:32,42.3 kV,112 µA
2024-08-04 18:55:36,42.3 kV,111 µA
2024-08-04 18:55:40,42.3 kV,111 µA
2024-08-04 18:55:44,42.3 kV,112 µA
2024-08-04 18:55:48,42.3 kV,111 µA
2024-08-04 18:55:52,42.3 kV,112 µA
2024-08-04 18:55:56,42.3 kV,112 µA
2024-08-04 18:56:00,42.3 kV,112 µA
2024-08-04 18:56:04,42.3 kV,112 µA
2024-08-04 18:56:08,42.3 kV,112 µA
2024-08-04 18:56:12,42.3 kV,112 µA
2024-08-04 18:56:16,42.3 kV,112 µA
2024-08-04 18:56:20,42.3 kV,112 µA
2024-08-04 18:56:24,42.3 kV,112 µA
2024-08-04 18:56:28,42.3 kV,112 µA
2024-08-04 18:56:32,42.3 kV,112 µA
2024-08-04 18:56:36,42.3 kV,112 µA
2024-08-04 18:56:40,42.3 kV,111 µA
2024-08-04 18:56:44,42.3 kV,112 µA
2024-08-04 18:56:48,42.3 kV,112 µA
2024-08-04 18:56:52,42.3 kV,112 µA
2024-08-04 18:56:56,42.3 kV,112 µA
2024-08-04 18:57:00,42.3 kV,112 µA
2024-08-04 18:57:04,42.3 kV,112 µA
2024-08-04 18:57:08,42.3 kV,112 µA
2024-08-04 18:57:12,42.3 kV,112 µA
2024-08-04 18:57:16,42.3 kV,112 µA
2024-08-04 18:57:20,42.3 kV,111 µA
2024-08-04 18:57:24,42.3 kV,112 µA
2024-08-04 18:57:28,42.3 kV,112 µA
2024-08-04 18:57:32,42.3 kV,112 µA
2024-08-04 18:57:36,42.3 kV,111 µA
2024-08-04 18:57:40,42.3 kV,112 µA
2024-08-04 18:57:44,42.3 kV,112 µA
2024-08-04 18:57:48,42.3 kV,111 µA
2024-08-04 18:57:52,42.3 kV,112 µA
2024-08-04 18:57:56,42.3 kV,112 µA
2024-08-04 18:58:00,42.3 kV,112 µA
2024-08-04 18:58:04,42.3 kV,112 µA
2024-08-04 18:58:08,42.3 kV,112 µA
2024-08-04 18:58:12,42.3 kV,112 µA
