"Time","u101","u102","u103","u104","u105","u106","u107","u108","u109","u110","u111","u112","u201","u203","u204","u205","u206","u207","u208","u209","u210","u211","u212","u213","u301","u302","u303","u304","u305","u306","u307","u308","u309","u310","u311","u312","u313","u501","u502","u503","u504","u505","u506","u507","u508","u509","u510","u511","u512","u601","u602","u603","u604","u605","u606","u607","u608","u609","u610","u611","u612","u702","u703","u704","u705","u706","u707","u708","u709","u710","u711","u712","u713","u714"
2024-08-04 18:55:00,-3.313054 kV,-3.313056 kV,-3.313048 kV,-3.313057 kV,-3.313009 kV,-3.313044 kV,-3.313050 kV,-3.313046 kV,-3.313043 kV,-3.313041 kV,-3.312989 kV,-3.313044 kV,-3.313002 kV,-3.313005 kV,-3.313029 kV,-3.313016 kV,-3.313014 kV,-3.313007 kV,-3.217000 kV,-3.313027 kV,-3.313024 kV,-3.313025 kV,-3.313031 kV,-3.313032 kV,-3.313029 kV,-3.168006 kV,-3.313034 kV,-3.313035 kV,-3.313054 kV,-3.313038 kV,-3.217008 kV,-3.313000 kV,-3.313003 kV,-3.313028 kV,-3.217002 kV,-3.313033 kV,-3.313039 kV,-3.313006 kV,-3.313000 kV,-3.313000 kV,-3.313008 kV,-3.313006 kV,-3.313017 kV,-3.313003 kV,-3.313045 kV,-3.049998 kV,-3.313041 kV,-3.313030 kV,-3.313033 kV,-3.313039 kV,-3.313012 kV,-3.313007 kV,-3.313030 kV,-3.313043 kV,-3.313008 kV,-3.313033 kV,-3.313041 kV,-3.313040 kV,-3.313042 kV,-3.217001 kV,-3.313038 kV,-3.313013 kV,-3.313001 kV,-3.313003 kV,-3.312990 kV,-3.313001 kV,-3.313000 kV,-3.313002 kV,-3.313003 kV,-3.313000 kV,-3.313001 kV,-3.313001 kV,-3.313002 kV,-3.313004 kV
2024-08-04 18:55:04,-3.313054 kV,-3.313056 kV,-3.313049 kV,-3.313058 kV,-3.313008 kV,-3.313044 kV,-3.313051 kV,-3.313046 kV,-3.313043 kV,-3.313040 kV,-3.312989 kV,-3.313044 kV,-3.312999 kV,-3.312998 kV,-3.313030 kV,-3.312998 kV,-3.312998 kV,-3.312998 kV,-3.217000 kV,-3.313026 kV,-3.313024 kV,-3.313025 kV,-3.312996 kV,-3.313031 kV,-3.313000 kV,-3.168001 kV,-3.313000 kV,-3.312998 kV,-3.313056 kV,-3.312999 kV,-3.217009 kV,-3.313000 kV,-3.313003 kV,-3.312997 kV,-3.217001 kV,-3.312997 kV,-3.313040 kV,-3.313000 kV,-3.313000 kV,-3.313000 kV,-3.313000 kV,-3.312999 kV,-3.312999 kV,-3.313000 kV,-3.313045 kV,-3.049998 kV,-3.313041 kV,-3.313029 kV,-3.313033 kV,-3.313039 kV,-3.313012 kV,-3.312998 kV,-3.313030 kV,-3.313044 kV,-3.313006 kV,-3.313035 kV,-3.313041 kV,-3.313041 kV,-3.313042 kV,-3.217001 kV,-3.313038 kV,-3.312999 kV,-3.313001 kV,-3.313000 kV,-3.313003 kV,-3.313001 kV,-3.313000 kV,-3.313003 kV,-3.312999 kV,-3.313000 kV,-3.313001 kV,-3.313002 kV,-3.313002 kV,-3.313000 kV
2024-08-04 18:55:08,-3.313054 kV,-3.313057 kV,-3.313050 kV,-3.313058 kV,-3.313006 kV,-3.313045 kV,-3.313051 kV,-3.313046 kV,-3.313043 kV,-3.313040 kV,-3.312988 kV,-3.313043 kV,-3.312999 kV,-3.312998 kV,-3.313030 kV,-3.312998 kV,-3.312998 kV,-3.312997 kV,-3.217000 kV,-3.313026 kV,-3.313024 kV,-3.313025 kV,-3.312995 kV,-3.313032 kV,-3.313000 kV,-3.168000 kV,-3.313000 kV,-3.312998 kV,-3.313056 kV,-3.313000 kV,-3.217010 kV,-3.312999 kV,-3.313003 kV,-3.312997 kV,-3.217001 kV,-3.312996 kV,-3.313040 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.312999 kV,-3.312999 kV,-3.313000 kV,-3.313000 kV,-3.313045 kV,-3.049998 kV,-3.313041 kV,-3.313028 kV,-3.313033 kV,-3.313040 kV,-3.313013 kV,-3.312999 kV,-3.313031 kV,-3.313044 kV,-3.313006 kV,-3.313036 kV,-3.313042 kV,-3.313041 kV,-3.313043 kV,-3.217001 kV,-3.313038 kV,-3.313000 kV,-3.313002 kV,-3.313000 kV,-3.313005 kV,-3.313001 kV,-3.313000 kV,-3.313003 kV,-3.312999 kV,-3.313000 kV,-3.313001 kV,-3.313001 kV,-3.313002 kV,-3.313000 kV
2024-08-04 18:55:12,-3.313054 kV,-3.313057 kV,-3.313050 kV,-3.313058 kV,-3.313005 kV,-3.313045 kV,-3.313051 kV,-3.313046 kV,-3.313042 kV,-3.313040 kV,-3.312988 kV,-3.313043 kV,-3.312999 kV,-3.312998 kV,-3.313031 kV,-3.312998 kV,-3.312999 kV,-3.312997 kV,-3.217000 kV,-3.313026 kV,-3.313024 kV,-3.313025 kV,-3.312995 kV,-3.313032 kV,-3.313000 kV,-3.168000 kV,-3.313000 kV,-3.312998 kV,-3.313031 kV,-3.312999 kV,-3.217010 kV,-3.312999 kV,-3.313002 kV,-3.312997 kV,-3.217001 kV,-3.312996 kV,-3.313040 kV,-3.313001 kV,-3.313000 kV,-3.313001 kV,-3.312998 kV,-3.312999 kV,-3.313000 kV,-3.313000 kV,-3.313046 kV,-3.049998 kV,-3.313041 kV,-3.313028 kV,-3.313034 kV,-3.313041 kV,-3.313014 kV,-3.313000 kV,-3.313031 kV,-3.313045 kV,-3.313005 kV,-3.313037 kV,-3.313042 kV,-3.313042 kV,-3.313043 kV,-3.217002 kV,-3.313039 kV,-3.313000 kV,-3.313002 kV,-3.312999 kV,-3.313006 kV,-3.313001 kV,-3.313000 kV,-3.313003 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.313002 kV,-3.313003 kV,-3.313000 kV
2024-08-04 18:55:16,-3.313053 kV,-3.313057 kV,-3.313050 kV,-3.313059 kV,-3.313003 kV,-3.313046 kV,-3.313051 kV,-3.313046 kV,-3.313042 kV,-3.313041 kV,-3.312988 kV,-3.313043 kV,-3.312999 kV,-3.312998 kV,-3.313031 kV,-3.312998 kV,-3.312999 kV,-3.312997 kV,-3.217001 kV,-3.313026 kV,-3.313024 kV,-3.313025 kV,-3.312995 kV,-3.313032 kV,-3.312999 kV,-3.167999 kV,-3.312999 kV,-3.312997 kV,-3.312990 kV,-3.312998 kV,-3.217009 kV,-3.312998 kV,-3.313002 kV,-3.312996 kV,-3.217001 kV,-3.312996 kV,-3.313039 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.312998 kV,-3.312999 kV,-3.313000 kV,-3.313000 kV,-3.313046 kV,-3.049998 kV,-3.313041 kV,-3.313028 kV,-3.313034 kV,-3.313041 kV,-3.313014 kV,-3.313000 kV,-3.313031 kV,-3.313045 kV,-3.313005 kV,-3.313037 kV,-3.313043 kV,-3.313042 kV,-3.313044 kV,-3.217002 kV,-3.313039 kV,-3.313000 kV,-3.313002 kV,-3.312999 kV,-3.313007 kV,-3.313001 kV,-3.313000 kV,-3.313003 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.313002 kV,-3.313003 kV,-3.313000 kV
2024-08-04 18:55:20,-3.313053 kV,-3.313057 kV,-3.313050 kV,-3.313058 kV,-3.313003 kV,-3.313046 kV,-3.313052 kV,-3.313046 kV,-3.313042 kV,-3.313041 kV,-3.312987 kV,-3.313043 kV,-3.312999 kV,-3.312998 kV,-3.313031 kV,-3.312998 kV,-3.312999 kV,-3.312997 kV,-3.217001 kV,-3.313027 kV,-3.313024 kV,-3.313024 kV,-3.312995 kV,-3.313032 kV,-3.312998 kV,-3.167998 kV,-3.312998 kV,-3.312996 kV,-3.312989 kV,-3.312997 kV,-3.217008 kV,-3.312997 kV,-3.313001 kV,-3.312995 kV,-3.217000 kV,-3.312995 kV,-3.313040 kV,-3.313001 kV,-3.313000 kV,-3.313001 kV,-3.312997 kV,-3.312999 kV,-3.313000 kV,-3.313000 kV,-3.313046 kV,-3.049998 kV,-3.313041 kV,-3.313027 kV,-3.313034 kV,-3.313042 kV,-3.313015 kV,-3.313001 kV,-3.313031 kV,-3.313047 kV,-3.313004 kV,-3.313038 kV,-3.313043 kV,-3.313042 kV,-3.313044 kV,-3.217003 kV,-3.313040 kV,-3.313000 kV,-3.313002 kV,-3.312999 kV,-3.313008 kV,-3.313002 kV,-3.313000 kV,-3.313003 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.313002 kV,-3.313003 kV,-3.313000 kV
2024-08-04 18:55:24,-3.313053 kV,-3.313031 kV,-3.313051 kV,-3.313059 kV,-3.313002 kV,-3.313046 kV,-3.313052 kV,-3.313046 kV,-3.313042 kV,-3.313041 kV,-3.312987 kV,-3.313043 kV,-3.312999 kV,-3.312997 kV,-3.313031 kV,-3.312998 kV,-3.312999 kV,-3.312997 kV,-3.217001 kV,-3.313027 kV,-3.313024 kV,-3.313024 kV,-3.312994 kV,-3.313032 kV,-3.312997 kV,-3.167996 kV,-3.312996 kV,-3.312994 kV,-3.312988 kV,-3.312996 kV,-3.217007 kV,-3.312998 kV,-3.313002 kV,-3.312996 kV,-3.217002 kV,-3.312995 kV,-3.313040 kV,-3.313001 kV,-3.313001 kV,-3.313001 kV,-3.312997 kV,-3.312999 kV,-3.313000 kV,-3.313000 kV,-3.313046 kV,-3.049998 kV,-3.313041 kV,-3.313027 kV,-3.313034 kV,-3.313043 kV,-3.313016 kV,-3.313001 kV,-3.313032 kV,-3.313047 kV,-3.313004 kV,-3.313038 kV,-3.313043 kV,-3.313042 kV,-3.313044 kV,-3.217000 kV,-3.313040 kV,-3.313000 kV,-3.313002 kV,-3.313000 kV,-3.313008 kV,-3.313002 kV,-3.313000 kV,-3.313003 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.313002 kV,-3.313002 kV,-3.313001 kV
2024-08-04 18:55:28,-3.313053 kV,-3.312990 kV,-3.313051 kV,-3.313059 kV,-3.313001 kV,-3.313046 kV,-3.313052 kV,-3.313046 kV,-3.313042 kV,-3.312996 kV,-3.312987 kV,-3.312996 kV,-3.312999 kV,-3.312997 kV,-3.313031 kV,-3.312998 kV,-3.312999 kV,-3.312997 kV,-3.217001 kV,-3.313027 kV,-3.312996 kV,-3.312998 kV,-3.312994 kV,-3.313032 kV,-3.312997 kV,-3.167996 kV,-3.312996 kV,-3.312993 kV,-3.312988 kV,-3.312996 kV,-3.217000 kV,-3.313000 kV,-3.313004 kV,-3.312997 kV,-3.217002 kV,-3.312997 kV,-3.313042 kV,-3.313001 kV,-3.313000 kV,-3.313001 kV,-3.312997 kV,-3.312999 kV,-3.313000 kV,-3.313000 kV,-3.313047 kV,-3.049998 kV,-3.313041 kV,-3.313027 kV,-3.313034 kV,-3.313043 kV,-3.313016 kV,-3.313002 kV,-3.313032 kV,-3.313047 kV,-3.313004 kV,-3.313039 kV,-3.313042 kV,-3.313042 kV,-3.313044 kV,-3.216999 kV,-3.313040 kV,-3.313000 kV,-3.313002 kV,-3.313000 kV,-3.313009 kV,-3.313002 kV,-3.313000 kV,-3.313003 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.313002 kV,-3.313002 kV,-3.313000 kV
2024-08-04 18:55:32,-3.313053 kV,-3.312989 kV,-3.313051 kV,-3.313059 kV,-3.313001 kV,-3.313046 kV,-3.313052 kV,-3.313046 kV,-3.313042 kV,-3.312996 kV,-3.312987 kV,-3.312996 kV,-3.312999 kV,-3.312997 kV,-3.313031 kV,-3.312998 kV,-3.312998 kV,-3.312996 kV,-3.217001 kV,-3.313027 kV,-3.312996 kV,-3.312998 kV,-3.312994 kV,-3.313032 kV,-3.312998 kV,-3.167998 kV,-3.312997 kV,-3.312996 kV,-3.312989 kV,-3.312998 kV,-3.217002 kV,-3.313000 kV,-3.313005 kV,-3.312998 kV,-3.217003 kV,-3.312997 kV,-3.313042 kV,-3.313001 kV,-3.313001 kV,-3.313001 kV,-3.312997 kV,-3.312999 kV,-3.313000 kV,-3.313000 kV,-3.313047 kV,-3.049998 kV,-3.313041 kV,-3.313027 kV,-3.313034 kV,-3.313043 kV,-3.313016 kV,-3.313002 kV,-3.313032 kV,-3.313047 kV,-3.313003 kV,-3.313039 kV,-3.313042 kV,-3.313041 kV,-3.313044 kV,-3.216999 kV,-3.313039 kV,-3.313000 kV,-3.313002 kV,-3.312999 kV,-3.313009 kV,-3.313001 kV,-3.313000 kV,-3.313003 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.313002 kV,-3.313003 kV,-3.313001 kV
2024-08-04 18:55:36,-3.313027 kV,-3.312989 kV,-3.313025 kV,-3.313040 kV,-3.313000 kV,-3.313020 kV,-3.313027 kV,-3.313046 kV,-3.313042 kV,-3.312996 kV,-3.312987 kV,-3.312996 kV,-3.312998 kV,-3.312997 kV,-3.312999 kV,-3.312998 kV,-3.312999 kV,-3.312996 kV,-3.217001 kV,-3.313027 kV,-3.312997 kV,-3.312998 kV,-3.312994 kV,-3.313032 kV,-3.312999 kV,-3.167999 kV,-3.312998 kV,-3.312996 kV,-3.312990 kV,-3.312998 kV,-3.217002 kV,-3.313000 kV,-3.313005 kV,-3.312997 kV,-3.217003 kV,-3.312997 kV,-3.313042 kV,-3.313000 kV,-3.313001 kV,-3.313001 kV,-3.312997 kV,-3.312999 kV,-3.313000 kV,-3.313000 kV,-3.313047 kV,-3.049999 kV,-3.313034 kV,-3.313021 kV,-3.313034 kV,-3.313011 kV,-3.312997 kV,-3.313003 kV,-3.313000 kV,-3.313016 kV,-3.313000 kV,-3.313007 kV,-3.313042 kV,-3.313041 kV,-3.313043 kV,-3.216999 kV,-3.313039 kV,-3.312999 kV,-3.313001 kV,-3.312999 kV,-3.312999 kV,-3.313001 kV,-3.313000 kV,-3.313003 kV,-3.313000 kV,-3.313000 kV,-3.313001 kV,-3.313002 kV,-3.313003 kV,-3.313000 kV
